"Question Keywords","Answer"
"calories apple","An average medium apple (about 182g) has around 95 calories, mostly from carbohydrates and natural sugars."
"protein chicken breast","100g of cooked, skinless chicken breast typically contains about 31g of high-quality protein and is relatively low in fat."
"substitute eggs baking","Common egg substitutes in baking (per egg) include: 1/4 cup applesauce, 1/4 cup mashed banana, 1 tbsp flaxseed meal mixed with 3 tbsp water (flax egg), or 1/4 cup silken tofu blended."
"quinoa gluten free","Yes, quinoa is a naturally gluten-free pseudocereal. It's considered a complete protein, containing all nine essential amino acids."
"healthy snack ideas","Healthy snacks include: fruit (apple, banana, berries), a small handful of nuts (almonds, walnuts), Greek yogurt, vegetable sticks (carrots, celery, cucumber) with hummus, hard-boiled eggs, edamame, or cottage cheese."
"cook brown rice","Use a 1:2 ratio of rice to water/broth (e.g., 1 cup rice, 2 cups liquid). Bring to a boil, reduce heat, cover, and simmer for 40-50 minutes until liquid is absorbed. Let stand covered for 10 minutes before fluffing."
"macros salmon","A 100g serving of cooked Atlantic salmon has roughly 200-220 calories, 22-25g protein, 12-15g fat (rich in omega-3s), and 0g carbs."
"difference white brown rice","Brown rice is a whole grain including the bran, germ, and endosperm, offering more fiber, vitamins (like B vitamins), and minerals (like magnesium, selenium). White rice has the bran and germ removed, resulting in lower nutrient content but a softer texture and quicker cooking time."
"benefit omega 3","Omega-3 fatty acids (EPA & DHA) support heart health by potentially lowering triglycerides and blood pressure, brain function and development, eye health, and reducing inflammation throughout the body."
"what are macronutrients","Macronutrients are the primary nutrients needed in large amounts: Carbohydrates (provide energy), Proteins (build and repair tissues, make enzymes/hormones), and Fats (provide energy, support cell growth, protect organs, absorb certain vitamins)."
"what are micronutrients","Micronutrients are essential vitamins and minerals needed in smaller quantities but vital for health, growth, and disease prevention. Examples include Vitamin C, Vitamin D, Iron, Calcium, Zinc, etc."
"sugar daily limit","The American Heart Association recommends limiting added sugars to no more than 25g (6 teaspoons) per day for women and 36g (9 teaspoons) per day for men. This doesn't include natural sugars found in fruits or milk."
"hydrate water much","General guidance is about 8 cups (64 oz or ~2 liters) of total fluid per day, but individual needs vary based on activity, climate, health status, etc. Listen to your body's thirst cues."
"source vitamin c","Excellent sources of Vitamin C include citrus fruits (oranges, grapefruit, lemons), bell peppers (especially red), strawberries, kiwi, broccoli, Brussels sprouts, and tomatoes."
"source iron","Heme iron (better absorbed) is found in red meat, poultry, and fish. Non-heme iron is found in plant foods like lentils, beans, tofu, spinach, fortified cereals, and pumpkin seeds. Consuming Vitamin C with non-heme iron sources enhances absorption."
"calcium important","Calcium is vital for building and maintaining strong bones and teeth, muscle contraction, nerve transmission, and blood clotting. Key sources are dairy products, fortified plant milks, leafy greens (kale, collards), tofu (set with calcium), and almonds."
"fiber good for","Dietary fiber aids digestion, prevents constipation, helps regulate blood sugar levels, lowers LDL ('bad') cholesterol, promotes satiety (helping with weight management), and feeds beneficial gut bacteria."
"saturated fat vs unsaturated fat","Unsaturated fats (monounsaturated and polyunsaturated, found in avocados, nuts, seeds, olive oil, fatty fish) are generally heart-healthy. Saturated fats (found mainly in animal products like red meat, butter, cheese, and also coconut/palm oil) should be consumed in moderation as high intake can raise LDL cholesterol."
"trans fat avoid","Artificial trans fats (often listed as 'partially hydrogenated oil') raise bad (LDL) cholesterol and lower good (HDL) cholesterol, increasing heart disease risk. They are often found in processed baked goods, fried foods, and some margarines. It's best to avoid them completely."
"potassium sources","Good sources of potassium include bananas, potatoes (especially skins), sweet potatoes, spinach, beans (kidney, black), lentils, yogurt, avocados, and salmon. Potassium helps regulate fluid balance, nerve signals, and muscle contractions."
"low carb diet what","A low-carbohydrate diet restricts foods high in carbs (like bread, pasta, rice, sugary drinks, potatoes) while emphasizing protein and fats. Variations exist (e.g., Keto). It can aid weight loss and blood sugar control for some, but consult a healthcare professional."
"intermittent fasting explained","Intermittent fasting (IF) involves cycling between periods of eating and voluntary fasting. Common methods include 16/8 (fast 16 hrs, eat in 8 hrs), 5:2 (eat normally 5 days, restrict calories significantly 2 days), or alternate-day fasting. Potential benefits relate to weight management and metabolic health, but it's not suitable for everyone."
"calories banana","A medium banana (about 118g) contains approximately 105 calories, 27g carbohydrates (including fiber and natural sugar), 1g protein, and minimal fat."
"protein powder necessary","Protein powder is a supplement, not a necessity. It can be convenient for increasing protein intake, especially for athletes, vegetarians/vegans, or those with increased needs. However, most people can meet their protein needs through whole foods like meat, poultry, fish, eggs, dairy, legumes, tofu, nuts, and seeds."
"best oil cooking","For high-heat cooking (stir-frying, searing), use oils with high smoke points like avocado oil, peanut oil, canola oil, or sunflower oil. For lower-heat cooking (sautéing) or dressings, extra virgin olive oil (rich in antioxidants but lower smoke point) or regular olive oil are good choices."
"read nutrition label","Key things to check: 1. Serving Size & Servings Per Container. 2. Calories per serving. 3. Macronutrients (Total Fat - note saturated/trans fat, Total Carbohydrates - note fiber/added sugars, Protein). 4. Sodium. 5. Key Micronutrients (% Daily Value - %DV; 5% or less is low, 20% or more is high)."
"processed foods bad","Ultra-processed foods (like sugary cereals, packaged snacks, processed meats, frozen meals with many additives) are often high in added sugar, sodium, unhealthy fats, and artificial ingredients, while low in fiber and essential nutrients. Limiting these is generally beneficial. Minimally processed foods (like canned beans, frozen vegetables, plain yogurt) can be part of a healthy diet."
"benefit drinking lemon water","Lemon water can help with hydration, provides some Vitamin C, and may aid digestion for some people. However, claims about significant 'detoxification' or major weight loss effects are largely unsupported by strong scientific evidence."
"are frozen vegetables healthy","Yes, frozen vegetables are typically picked at peak ripeness and flash-frozen, which preserves most of their nutrients. They are a healthy, convenient, and often budget-friendly alternative to fresh vegetables, especially when fresh produce is out of season."
"how much protein need daily","The Recommended Dietary Allowance (RDA) for protein is 0.8 grams per kilogram (or about 0.36 grams per pound) of body weight for average sedentary adults. Needs increase for athletes, older adults, pregnant/breastfeeding women, and during illness recovery."
"what is mediterranean diet","The Mediterranean diet emphasizes fruits, vegetables, whole grains, legumes, nuts, seeds, olive oil (as the primary fat source), and fish/seafood. It includes moderate amounts of poultry, eggs, and dairy, while limiting red meat and sweets. It's associated with numerous health benefits, particularly heart health."
"gluten sensitivity vs celiac disease","Celiac disease is an autoimmune disorder where ingesting gluten damages the small intestine. Gluten sensitivity (or non-celiac gluten sensitivity) involves experiencing symptoms after eating gluten, but without the autoimmune intestinal damage seen in celiac disease. Both require avoiding gluten, but the underlying mechanism differs."
"benefits of probiotics","Probiotics are live beneficial bacteria that can improve gut health by restoring microbial balance. They may aid digestion, reduce symptoms of IBS, support the immune system, and potentially influence mood. Found in yogurt (with live cultures), kefir, sauerkraut, kimchi, and supplements."
"what are antioxidants","Antioxidants are compounds (like Vitamin C, Vitamin E, beta-carotene, selenium, flavonoids) that protect your cells from damage caused by free radicals, which are unstable molecules linked to aging and diseases like cancer and heart disease. Found abundantly in fruits, vegetables, nuts, seeds, and whole grains."
"is coffee healthy","Moderate coffee consumption (around 3-4 cups/day) is associated with several potential health benefits, including increased alertness, improved physical performance, and a potentially lower risk of type 2 diabetes, Parkinson's disease, and certain liver conditions. However, excessive intake can cause anxiety, insomnia, and heart palpitations. Effects vary individually."
"importance of vitamin d","Vitamin D is crucial for calcium absorption (bone health), immune function, cell growth, and reducing inflammation. Sources include sunlight exposure (skin synthesis), fatty fish (salmon, mackerel), fortified foods (milk, cereals), egg yolks, and supplements."
"simple carbs vs complex carbs","Simple carbohydrates (sugars found in candy, soda, fruit juice, white bread) are digested quickly, causing rapid blood sugar spikes. Complex carbohydrates (starches and fiber found in whole grains, legumes, vegetables) are digested more slowly, providing sustained energy and more nutrients."
"how to lower cholesterol naturally","Lifestyle changes include: increasing soluble fiber intake (oats, beans, apples), choosing unsaturated fats over saturated/trans fats, eating omega-3 rich foods (fatty fish), exercising regularly, maintaining a healthy weight, and limiting processed foods high in sugar and unhealthy fats."
"role of magnesium","Magnesium is involved in over 300 enzymatic reactions, including energy production, muscle and nerve function, blood sugar control, blood pressure regulation, and protein synthesis. Good sources include leafy green vegetables, nuts, seeds, whole grains, and legumes."
"are supplements necessary","Supplements can help fill nutritional gaps but shouldn't replace a balanced diet. They may be necessary for specific deficiencies (like iron or B12), during certain life stages (like prenatal vitamins), or for specific dietary patterns (like Vitamin D for those with limited sun exposure). Always consult a healthcare provider before starting supplements."
"benefits of green tea","Green tea is rich in antioxidants called catechins (especially EGCG). Potential benefits include improved brain function, fat loss support, reduced risk of heart disease, and potential protection against certain cancers. It contains less caffeine than coffee."
"tips for healthy grocery shopping","Plan meals ahead, make a list, shop the perimeter of the store first (produce, dairy, lean meats), read nutrition labels (focus on added sugars, sodium, saturated fat, fiber), choose whole grains, opt for lean proteins, and limit processed snacks and sugary drinks."
"healthy fats sources","Good sources of unsaturated fats include: Avocados, nuts (almonds, walnuts, pecans), seeds (chia, flax, pumpkin, sunflower), olive oil, canola oil, peanut oil, and fatty fish (salmon, mackerel, sardines, tuna)."
"what is glycemic index","The Glycemic Index (GI) ranks carbohydrate-containing foods based on how quickly they raise blood glucose levels after eating. Low-GI foods cause a slower, smaller rise, while high-GI foods cause a faster, larger rise. Glycemic Load (GL) considers both GI and the amount of carbohydrate per serving."
"benefits of hydration","Staying hydrated is crucial for regulating body temperature, transporting nutrients, lubricating joints, flushing waste, maintaining energy levels, supporting organ function, and improving skin health."
"vegetarian protein sources","Excellent vegetarian protein sources include: Legumes (lentils, beans, chickpeas, peas), tofu, tempeh, edamame, eggs (for lacto-ovo vegetarians), dairy products (milk, yogurt, cheese - for lacto-vegetarians), nuts, seeds, nutritional yeast, quinoa, and seitan (wheat gluten)."
"vegan protein sources","Excellent vegan protein sources include: Legumes (lentils, beans, chickpeas, peas), tofu, tempeh, edamame, nuts, seeds, nutritional yeast, quinoa, seitan, spirulina, and some fortified plant-based milks and meat alternatives."
"reduce sodium intake","Limit processed/packaged foods, restaurant meals, and fast food. Cook more meals at home using fresh ingredients. Flavor foods with herbs, spices, lemon juice, and vinegar instead of salt. Read labels and choose 'low sodium' or 'no salt added' options. Rinse canned beans and vegetables."
"eating healthy on a budget","Plan meals, cook at home, buy whole foods (less processed), purchase seasonal produce, utilize frozen/canned fruits and vegetables, buy staples like beans/rice/oats in bulk, look for sales/coupons, reduce food waste, and incorporate budget-friendly proteins like eggs, beans, and lentils."
"mindful eating tips","Pay attention to hunger/fullness cues, eat slowly and savor each bite, minimize distractions (turn off screens), appreciate the food's appearance/smell/texture, chew thoroughly, and recognize emotional eating triggers."
"what are whole grains","Whole grains contain all three parts of the grain kernel: the bran (fiber-rich outer layer), the germ (nutrient-rich core), and the endosperm (starchy middle). Examples include brown rice, oats, quinoa, whole wheat bread/pasta, barley, and popcorn."
"benefits of fiber","Dietary fiber promotes digestive health, prevents constipation, helps manage weight by increasing fullness, stabilizes blood sugar, lowers cholesterol levels, and reduces the risk of heart disease and type 2 diabetes."
"difference between juice and whole fruit","Whole fruit contains fiber, which slows sugar absorption and provides bulk for digestion. Juice often removes the fiber, concentrating the sugar and calories, leading to faster blood sugar spikes. Eating whole fruit is generally healthier."
"calcium non dairy sources","Good non-dairy calcium sources include fortified plant milks (soy, almond, oat), fortified orange juice, tofu made with calcium sulfate, leafy greens (collard greens, kale, bok choy - though absorption varies), broccoli, almonds, chia seeds, and sesame seeds."
"vitamin b12 sources","Vitamin B12 is primarily found in animal products: meat, poultry, fish, eggs, and dairy. Vegans need to consume fortified foods (cereals, plant milks, nutritional yeast) or take a B12 supplement to meet their needs."
"healthy breakfast ideas","Oatmeal with fruit and nuts, Greek yogurt with berries and seeds, scrambled eggs with vegetables and whole-wheat toast, whole-grain cereal with milk and fruit, or a smoothie with spinach, fruit, protein powder, and milk/plant milk."
"meal prep tips","Choose simple recipes, schedule time for shopping and cooking, cook versatile ingredients in batches (e.g., roasted vegetables, quinoa, grilled chicken), portion meals into containers, and utilize freezer-friendly recipes."
"understanding food cravings","Cravings can be triggered by physiological needs (hunger, nutrient deficiency - less common), psychological factors (stress, boredom, emotions, habit), or environmental cues (seeing/smelling food). Identifying triggers can help manage them."
"healthy cooking methods","Prioritize baking, roasting, grilling, steaming, poaching, stir-frying (with minimal oil), and sautéing over deep-frying. Use herbs, spices, and healthy fats for flavor."
"portion control importance","Managing portion sizes helps control calorie intake, aids in weight management, prevents overeating, and helps maintain balanced blood sugar levels. Using smaller plates and being mindful of serving sizes can help."
"impact of sleep on nutrition","Lack of sleep can disrupt hunger hormones (increasing ghrelin, decreasing leptin), leading to increased appetite and cravings, often for high-calorie, low-nutrient foods. It can also impair insulin sensitivity."
"role of water in weight loss","Drinking water helps boost metabolism slightly, increases feelings of fullness (especially if consumed before meals), replaces high-calorie sugary drinks, and is essential for overall bodily functions, including fat breakdown."
"artificial sweeteners good or bad","Artificial sweeteners provide sweetness with few or no calories. Their long-term health effects are still debated. Some people may experience digestive issues. They can be helpful for reducing sugar intake for some, but focusing on whole foods and reducing overall sweetness preference is often recommended."
"what is nutrient density","Nutrient density refers to the amount of beneficial nutrients (vitamins, minerals, fiber, protein) a food contains relative to its calorie content. Nutrient-dense foods provide more health benefits per calorie."
"benefits of eating breakfast","Eating breakfast can help kickstart your metabolism, improve concentration and performance, provide energy for the morning, and may help manage weight by preventing overeating later in the day."
"difference between prebiotics and probiotics","Probiotics are live beneficial bacteria found in certain foods or supplements. Prebiotics are types of dietary fiber (like inulin, FOS) that act as food for these beneficial bacteria, helping them thrive in your gut."
"role of zinc","Zinc is essential for immune function, wound healing, cell growth, DNA synthesis, and sense of taste and smell. Good sources include oysters, red meat, poultry, beans, nuts, and whole grains."
"what are electrolytes","Electrolytes are minerals (like sodium, potassium, chloride, calcium, magnesium) that carry an electric charge when dissolved in body fluids. They are vital for nerve and muscle function, hydration, and maintaining pH balance."
"sources of vitamin k","Vitamin K is important for blood clotting and bone health. Main sources are leafy green vegetables (kale, spinach, collards, broccoli - Vitamin K1) and fermented foods, cheese, eggs (Vitamin K2)."
"are organic foods healthier","Organic foods are grown without synthetic pesticides, herbicides, or fertilizers. While they reduce exposure to these chemicals, current scientific evidence isn't conclusive that they are significantly more nutritious than conventionally grown foods in terms of vitamin/mineral content."
"what is added sugar vs natural sugar","Natural sugars occur inherently in foods like fruits (fructose) and milk (lactose). Added sugars are sugars and syrups put into foods during processing or preparation (like sucrose in candy, high-fructose corn syrup in soda). It's the added sugars we should limit."
"tips for reading ingredient lists","Ingredients are listed by weight, from most to least. Look for whole food ingredients near the beginning. Be wary of multiple types of added sugars (syrup, cane juice, dextrose, etc.), long lists of chemical-sounding names, and partially hydrogenated oils (trans fat)."
"benefits of nuts and seeds","Nuts and seeds are nutrient powerhouses, providing healthy fats (mono- and polyunsaturated), protein, fiber, vitamins (like Vitamin E), and minerals (like magnesium, zinc). They support heart health, help manage weight, and provide antioxidants."
"what is intuitive eating","Intuitive eating is an approach that encourages listening to your body's internal hunger and fullness cues to guide eating choices, rather than following strict diet rules. It focuses on honoring hunger, respecting fullness, and making peace with food."
"role of iodine","Iodine is essential for the production of thyroid hormones, which regulate metabolism, growth, and development. The primary source in many diets is iodized salt; seafood and dairy products also contain iodine."
"difference between hunger and appetite","Hunger is the physiological need for food, often accompanied by physical sensations like a growling stomach or low energy. Appetite is the psychological desire to eat, which can be triggered by sight, smell, emotions, or habit, even when not physically hungry."
"health benefits of berries","Berries (strawberries, blueberries, raspberries, blackberries) are packed with antioxidants (like anthocyanins), vitamins (especially Vitamin C), and fiber. They support brain health, heart health, blood sugar control, and fight inflammation."
"what is food synergy","Food synergy is the concept that nutrients and compounds in whole foods work together synergistically, providing greater health benefits than when consumed individually as supplements. For example, Vitamin C enhances iron absorption from plant foods."
"are plant based diets healthy","Well-planned plant-based diets (vegetarian, vegan) emphasizing whole foods like fruits, vegetables, legumes, whole grains, nuts, and seeds can be very healthy, offering benefits for heart health, weight management, and reducing risk of type 2 diabetes. Careful planning is needed to ensure adequate intake of certain nutrients like B12, Vitamin D, iron, calcium, and omega-3s."
"role of selenium","Selenium is a trace mineral that acts as a powerful antioxidant and is important for thyroid hormone metabolism and immune function. Brazil nuts are exceptionally high; other sources include seafood, organ meats, poultry, and eggs."
"how to increase vegetable intake","Add veggies to smoothies, omelets, pasta sauces, or soups. Snack on raw vegetables with dip. Keep pre-cut vegetables ready. Try roasting vegetables for better flavor. Aim to fill half your plate with non-starchy vegetables at meals."
"what is visceral fat","Visceral fat is fat stored deep within the abdominal cavity, surrounding organs like the liver and intestines. High levels of visceral fat are strongly linked to increased risk of heart disease, type 2 diabetes, and metabolic syndrome."
"benefits of legumes","Legumes (beans, lentils, peas, chickpeas) are excellent sources of plant-based protein, high in dietary fiber (both soluble and insoluble), and provide important minerals like iron, magnesium, potassium, and folate. They support digestive health, blood sugar control, and heart health."
"what is orthorexia","Orthorexia is an unhealthy obsession with eating 'healthy' or 'pure' foods, to the point where it negatively impacts one's physical health, social life, and mental well-being. It's distinct from simply choosing to eat healthily."
"role of folate vitamin b9","Folate (or folic acid in synthetic form) is crucial for DNA synthesis and repair, cell division, and red blood cell formation. It's especially important before and during pregnancy to prevent neural tube defects. Sources include leafy greens, legumes, asparagus, and fortified grains."
"tips for healthy eating out","Check menus online beforehand. Choose grilled, baked, steamed, or roasted options over fried. Ask for sauces/dressings on the side. Fill up on salads (with light dressing) or broth-based soups. Control portions (ask for a half portion or take leftovers home). Limit sugary drinks."
"what is complete protein","A complete protein contains all nine essential amino acids that the human body cannot produce on its own and must obtain from the diet. Animal proteins (meat, fish, dairy, eggs) are typically complete. Some plant foods like quinoa, soy, and buckwheat are also complete proteins."
"benefits of garlic","Garlic contains compounds like allicin, known for potential health benefits including immune support, reduced blood pressure and cholesterol levels, antioxidant effects, and potential anti-cancer properties."
"what is mindful drinking","Similar to mindful eating, it involves paying attention to why, when, what, and how much you drink (especially alcohol). It encourages savoring drinks, recognizing effects on the body, and making conscious choices about consumption."
"role of vitamin e","Vitamin E is a fat-soluble antioxidant that protects cell membranes from damage. It also plays roles in immune function and cell signaling. Good sources include nuts (almonds), seeds (sunflower seeds), vegetable oils (sunflower, safflower), spinach, and broccoli."
"are detox diets effective","Most 'detox' diets or cleanses lack scientific evidence supporting their claims of removing toxins. The body has its own effective detoxification systems (liver, kidneys, lungs, skin). These diets are often restrictive, potentially lacking nutrients, and any weight loss is usually temporary water loss."
"benefits of fermented foods","Fermented foods (yogurt, kefir, sauerkraut, kimchi, tempeh, miso) contain probiotics (beneficial bacteria) and enzymes produced during fermentation. They can improve gut health, enhance nutrient absorption, and support the immune system."
"what is added fiber","Added fiber refers to isolated or synthetic fibers added to processed foods (like cereals, bars, yogurts) to increase their fiber content. While they contribute to total fiber intake, getting fiber from diverse whole food sources is generally preferred for broader nutritional benefits."
"role of choline","Choline is an essential nutrient important for brain development, liver function, nerve function, and muscle movement. The body produces some, but dietary intake is needed. Sources include eggs (yolks), liver, meat, fish, soybeans, and cruciferous vegetables."
"difference between whole wheat and whole grain","'Whole wheat' specifically refers to products made using the entire wheat kernel. 'Whole grain' is a broader term that includes whole wheat but also other intact grains like oats, brown rice, barley, quinoa, etc. Both are healthier choices than refined grains."
"benefits of hydration for skin","Adequate hydration helps maintain skin elasticity, plumpness, and barrier function. While drinking water is essential for overall health, topical moisturizers are more directly effective for treating dry skin."
